Cust_name,cust_id,sku_code,product_qty,facility_code,sales_value,product_price,total_qty,sales_date
Judy Williams,CUST_0247,BGT_SKU_007,4,WH-BLR,5994.76,1498.69,4,27-03-2025
David Thomas,CUST_0414,BGT_SKU_095,2,WH-KOL,4454.58,2227.29,2,27-03-2025
Alice Harris,CUST_0141,BGT_SKU_031,5,WH-GGN,2627.95,525.59,5,27-03-2025
Victor Williams,CUST_0285,BGT_SKU_053,2,WH-MUM,3008.64,1504.32,2,27-03-2025
Mia Rodriguez,CUST_0301,BGT_SKU_073,2,WH-KOL,6383.44,3191.72,2,27-03-2025
Quinn Thompson,CUST_0469,BGT_SKU_042,4,WH-KOL,12590.76,3147.69,4,27-03-2025
Alice Harris,CUST_0141,BGT_SKU_046,1,WH-KOL,516.26,516.26,1,27-03-2025
Liam Anderson,CUST_0362,BGT_SKU_005,4,WH-KOL,9097.48,2274.37,4,27-03-2025
Quinn Hernandez,CUST_0255,BGT_SKU_073,2,WH-KOL,6383.44,3191.72,2,27-03-2025
Victor Martinez,CUST_0153,BGT_SKU_037,3,WH-BLR,3536.64,1178.88,3,27-03-2025
Sam Lopez,CUST_0263,BGT_SKU_038,5,WH-MUM,6152.3,1230.46,5,27-03-2025
Bob Martinez,CUST_0472,BGT_SKU_005,1,WH-GGN,2274.37,2274.37,1,27-03-2025
Olivia Anderson,CUST_0358,BGT_SKU_049,3,WH-BLR,9180.63,3060.21,3,27-03-2025
Kelly Moore,CUST_0412,BGT_SKU_074,3,WH-MUM,10231.44,3410.48,3,27-03-2025
Uma Rodriguez,CUST_0003,BGT_SKU_057,2,WH-GGN,5828.52,2914.26,2,27-03-2025
Judy Allen,CUST_0002,BGT_SKU_026,1,WH-KOL,256.19,256.19,1,27-03-2025
Quinn Jones,CUST_0270,BGT_SKU_038,1,WH-MUM,1230.46,1230.46,1,27-03-2025
Alice Moore,CUST_0376,BGT_SKU_042,1,WH-MUM,3147.69,3147.69,1,27-03-2025
Peter Miller,CUST_0178,BGT_SKU_034,3,WH-KOL,7341.03,2447.01,3,27-03-2025
Rachel King,CUST_0047,BGT_SKU_023,3,WH-BLR,4235.1,1411.7,3,27-03-2025
David Gonzalez,CUST_0315,BGT_SKU_088,5,WH-MUM,14086.8,2817.36,5,27-03-2025
Wendy Thompson,CUST_0323,BGT_SKU_063,2,WH-KOL,4340.44,2170.22,2,27-03-2025
Yara White,CUST_0048,BGT_SKU_033,4,WH-GGN,3453.92,863.48,4,27-03-2025
Alice Martinez,CUST_0032,BGT_SKU_083,4,WH-KOL,13420.76,3355.19,4,27-03-2025
Kelly King,CUST_0226,BGT_SKU_014,4,WH-KOL,10874.08,2718.52,4,27-03-2025
Wendy Lopez,CUST_0118,BGT_SKU_070,1,WH-KOL,881.86,881.86,1,27-03-2025
Bob Johnson,CUST_0186,BGT_SKU_027,1,WH-MUM,1510.39,1510.39,1,27-03-2025
Noah Thomas,CUST_0441,BGT_SKU_096,4,WH-BLR,4275.4,1068.85,4,27-03-2025
Quinn Young,CUST_0183,BGT_SKU_036,2,WH-MUM,4191.88,2095.94,2,27-03-2025
Quinn Martinez,CUST_0353,BGT_SKU_091,3,WH-KOL,9661.17,3220.39,3,27-03-2025
Grace Brown,CUST_0169,BGT_SKU_003,5,WH-MUM,8441.8,1688.36,5,27-03-2025
David Williams,CUST_0069,BGT_SKU_015,2,WH-GGN,861.68,430.84,2,27-03-2025
Sam Johnson,CUST_0325,BGT_SKU_024,5,WH-GGN,11182.45,2236.49,5,27-03-2025
Alice White,CUST_0249,BGT_SKU_064,5,WH-MUM,8180.45,1636.09,5,27-03-2025
Eve White,CUST_0184,BGT_SKU_097,5,WH-KOL,16110.55,3222.11,5,27-03-2025
Alice Harris,CUST_0141,BGT_SKU_033,5,WH-BLR,4317.4,863.48,5,27-03-2025
Judy Williams,CUST_0247,BGT_SKU_003,3,WH-GGN,5065.08,1688.36,3,27-03-2025
Xavier Garcia,CUST_0302,BGT_SKU_041,5,WH-GGN,7688.05,1537.61,5,27-03-2025
Victor Smith,CUST_0121,BGT_SKU_089,2,WH-GGN,4043.72,2021.86,2,27-03-2025
Sam Lopez,CUST_0488,BGT_SKU_042,3,WH-MUM,9443.07,3147.69,3,27-03-2025
Noah Hernandez,CUST_0386,BGT_SKU_015,3,WH-KOL,1292.52,430.84,3,27-03-2025
Yara King,CUST_0119,BGT_SKU_063,4,WH-MUM,8680.88,2170.22,4,28-03-2025
Judy Young,CUST_0402,BGT_SKU_080,5,WH-GGN,2500.1,500.02,5,28-03-2025
Alice Anderson,CUST_0267,BGT_SKU_027,4,WH-BLR,6041.56,1510.39,4,28-03-2025
Ivan Jones,CUST_0079,BGT_SKU_087,4,WH-GGN,8481.12,2120.28,4,28-03-2025
Uma Thomas,CUST_0476,BGT_SKU_002,3,WH-MUM,2865.9,955.3,3,28-03-2025
Sam Johnson,CUST_0325,BGT_SKU_068,5,WH-GGN,1753.7,350.74,5,28-03-2025
Heidi Davis,CUST_0105,BGT_SKU_012,5,WH-BLR,10021.4,2004.28,5,28-03-2025
Alice Brown,CUST_0337,BGT_SKU_029,1,WH-MUM,1259.36,1259.36,1,28-03-2025
Eve White,CUST_0184,BGT_SKU_049,4,WH-MUM,12240.84,3060.21,4,28-03-2025
Kelly King,CUST_0170,BGT_SKU_071,1,WH-BLR,1086.26,1086.26,1,28-03-2025
Sam Allen,CUST_0430,BGT_SKU_043,3,WH-MUM,9709.14,3236.38,3,28-03-2025
Wendy Wright,CUST_0483,BGT_SKU_002,2,WH-MUM,1910.6,955.3,2,28-03-2025
Sam Garcia,CUST_0130,BGT_SKU_008,1,WH-MUM,1674.11,1674.11,1,28-03-2025
Quinn Davis,CUST_0020,BGT_SKU_087,4,WH-KOL,8481.12,2120.28,4,28-03-2025
Eve Lopez,CUST_0382,BGT_SKU_010,3,WH-GGN,8112.51,2704.17,3,28-03-2025
Bob Gonzalez,CUST_0114,BGT_SKU_061,2,WH-MUM,5803.94,2901.97,2,28-03-2025
Judy Garcia,CUST_0062,BGT_SKU_058,3,WH-MUM,3094.65,1031.55,3,28-03-2025
Kelly Wilson,CUST_0109,BGT_SKU_005,2,WH-BLR,4548.74,2274.37,2,28-03-2025
Charlie King,CUST_0403,BGT_SKU_071,2,WH-GGN,2172.52,1086.26,2,28-03-2025
Rachel Smith,CUST_0326,BGT_SKU_003,2,WH-KOL,3376.72,1688.36,2,28-03-2025
Mia Garcia,CUST_0365,BGT_SKU_005,4,WH-KOL,9097.48,2274.37,4,28-03-2025
Uma Jones,CUST_0015,BGT_SKU_002,1,WH-BLR,955.3,955.3,1,28-03-2025
Heidi Martinez,CUST_0064,BGT_SKU_081,5,WH-MUM,10560,2112,5,28-03-2025
Frank Lopez,CUST_0486,BGT_SKU_094,5,WH-KOL,7398.95,1479.79,5,28-03-2025
Bob Martinez,CUST_0472,BGT_SKU_074,4,WH-KOL,13641.92,3410.48,4,28-03-2025
Frank Wilson,CUST_0448,BGT_SKU_093,5,WH-KOL,16983.85,3396.77,5,28-03-2025
Wendy Gonzalez,CUST_0027,BGT_SKU_014,4,WH-KOL,10874.08,2718.52,4,28-03-2025
Noah Wilson,CUST_0012,BGT_SKU_085,4,WH-MUM,1489.88,372.47,4,28-03-2025
Xavier Smith,CUST_0482,BGT_SKU_036,2,WH-KOL,4191.88,2095.94,2,28-03-2025
Zoe Lopez,CUST_0339,BGT_SKU_044,1,WH-BLR,1273.75,1273.75,1,28-03-2025
Ivan Gonzalez,CUST_0320,BGT_SKU_088,4,WH-KOL,11269.44,2817.36,4,28-03-2025
Bob Gonzalez,CUST_0114,BGT_SKU_096,3,WH-KOL,3206.55,1068.85,3,28-03-2025
David Thomas,CUST_0414,BGT_SKU_009,4,WH-BLR,4234.36,1058.59,4,28-03-2025
Wendy Davis,CUST_0291,BGT_SKU_073,5,WH-BLR,15958.6,3191.72,5,28-03-2025
Eve Smith,CUST_0036,BGT_SKU_030,4,WH-GGN,13960.08,3490.02,4,28-03-2025
Alice Brown,CUST_0337,BGT_SKU_079,4,WH-BLR,1323.12,330.78,4,28-03-2025
Quinn Young,CUST_0183,BGT_SKU_006,5,WH-BLR,5705.25,1141.05,5,28-03-2025
Tina Allen,CUST_0207,BGT_SKU_071,3,WH-BLR,3258.78,1086.26,3,28-03-2025
Bob Jones,CUST_0123,BGT_SKU_078,5,WH-GGN,7069.15,1413.83,5,28-03-2025
Grace Thompson,CUST_0487,BGT_SKU_069,2,WH-BLR,6762.74,3381.37,2,28-03-2025
Quinn Rodriguez,CUST_0480,BGT_SKU_098,5,WH-GGN,12133.9,2426.78,5,28-03-2025
Charlie Miller,CUST_0137,BGT_SKU_048,1,WH-BLR,1798.59,1798.59,1,28-03-2025
Tina Hernandez,CUST_0379,BGT_SKU_021,2,WH-MUM,5086.38,2543.19,2,28-03-2025
Grace Johnson,CUST_0202,BGT_SKU_004,2,WH-MUM,2585.32,1292.66,2,28-03-2025
David Jackson,CUST_0284,BGT_SKU_095,1,WH-KOL,2227.29,2227.29,1,28-03-2025
Zoe Brown,CUST_0405,BGT_SKU_091,5,WH-BLR,16101.95,3220.39,5,28-03-2025
Grace Lopez,CUST_0474,BGT_SKU_023,5,WH-MUM,7058.5,1411.7,5,28-03-2025
Quinn Garcia,CUST_0428,BGT_SKU_019,3,WH-MUM,4981.47,1660.49,3,28-03-2025
David Miller,CUST_0120,BGT_SKU_017,4,WH-MUM,9858.32,2464.58,4,28-03-2025
Xavier Gonzalez,CUST_0200,BGT_SKU_084,5,WH-GGN,3424.1,684.82,5,28-03-2025
Sam Smith,CUST_0028,BGT_SKU_079,3,WH-GGN,992.34,330.78,3,28-03-2025
Peter Davis,CUST_0332,BGT_SKU_031,2,WH-BLR,1051.18,525.59,2,28-03-2025
Quinn Martin,CUST_0101,BGT_SKU_040,3,WH-BLR,7760.25,2586.75,3,28-03-2025
Heidi Martinez,CUST_0064,BGT_SKU_001,4,WH-MUM,7251.76,1812.94,4,28-03-2025
Grace Johnson,CUST_0202,BGT_SKU_023,1,WH-BLR,1411.7,1411.7,1,28-03-2025
Grace Wright,CUST_0404,BGT_SKU_044,5,WH-KOL,6368.75,1273.75,5,28-03-2025
Judy Davis,CUST_0197,BGT_SKU_078,5,WH-MUM,7069.15,1413.83,5,28-03-2025
Alice Rodriguez,CUST_0053,BGT_SKU_032,2,WH-MUM,6594.18,3297.09,2,28-03-2025
Uma Jackson,CUST_0072,BGT_SKU_064,4,WH-KOL,6544.36,1636.09,4,28-03-2025
Peter King,CUST_0377,BGT_SKU_083,2,WH-GGN,6710.38,3355.19,2,28-03-2025
Yara Thomas,CUST_0099,BGT_SKU_072,1,WH-BLR,2981.48,2981.48,1,28-03-2025
Sam Rodriguez,CUST_0360,BGT_SKU_081,4,WH-BLR,8448,2112,4,28-03-2025
Olivia Allen,CUST_0330,BGT_SKU_087,2,WH-BLR,4240.56,2120.28,2,28-03-2025
Kelly Johnson,CUST_0039,BGT_SKU_022,5,WH-MUM,15542.45,3108.49,5,28-03-2025
Alice Martinez,CUST_0032,BGT_SKU_074,2,WH-BLR,6820.96,3410.48,2,28-03-2025
Peter Gonzalez,CUST_0108,BGT_SKU_061,1,WH-MUM,2901.97,2901.97,1,28-03-2025
Rachel Jones,CUST_0478,BGT_SKU_041,4,WH-KOL,6150.44,1537.61,4,28-03-2025
Heidi Davis,CUST_0105,BGT_SKU_097,4,WH-BLR,12888.44,3222.11,4,28-03-2025
Sam Garcia,CUST_0300,BGT_SKU_095,4,WH-BLR,8909.16,2227.29,4,28-03-2025
Xavier Brown,CUST_0204,BGT_SKU_047,3,WH-KOL,9358.83,3119.61,3,28-03-2025
Grace Johnson,CUST_0202,BGT_SKU_083,4,WH-KOL,13420.76,3355.19,4,28-03-2025
Heidi Martinez,CUST_0218,BGT_SKU_060,4,WH-MUM,5868.16,1467.04,4,28-03-2025
Zoe Brown,CUST_0405,BGT_SKU_035,2,WH-KOL,2788.52,1394.26,2,28-03-2025
Charlie Martin,CUST_0378,BGT_SKU_041,1,WH-KOL,1537.61,1537.61,1,28-03-2025
Olivia Harris,CUST_0007,BGT_SKU_045,5,WH-MUM,6308.2,1261.64,5,28-03-2025
Judy Garcia,CUST_0392,BGT_SKU_015,4,WH-GGN,1723.36,430.84,4,28-03-2025
Rachel Hernandez,CUST_0225,BGT_SKU_034,5,WH-BLR,12235.05,2447.01,5,28-03-2025
Liam Allen,CUST_0306,BGT_SKU_036,3,WH-KOL,6287.82,2095.94,3,28-03-2025
Wendy Martinez,CUST_0500,BGT_SKU_025,2,WH-KOL,5493.62,2746.81,2,28-03-2025
Charlie Garcia,CUST_0453,BGT_SKU_023,2,WH-KOL,2823.4,1411.7,2,28-03-2025
Xavier Brown,CUST_0204,BGT_SKU_073,1,WH-KOL,3191.72,3191.72,1,28-03-2025
Wendy Anderson,CUST_0189,BGT_SKU_074,4,WH-BLR,13641.92,3410.48,4,28-03-2025
Grace Anderson,CUST_0259,BGT_SKU_048,4,WH-BLR,7194.36,1798.59,4,28-03-2025
Olivia Gonzalez,CUST_0066,BGT_SKU_071,2,WH-BLR,2172.52,1086.26,2,28-03-2025
Bob Hernandez,CUST_0432,BGT_SKU_067,3,WH-MUM,4578.18,1526.06,3,28-03-2025
Mia Johnson,CUST_0054,BGT_SKU_025,5,WH-GGN,13734.05,2746.81,5,28-03-2025
Ivan Thompson,CUST_0492,BGT_SKU_080,4,WH-BLR,2000.08,500.02,4,28-03-2025
Noah Martinez,CUST_0060,BGT_SKU_060,1,WH-BLR,1467.04,1467.04,1,28-03-2025
David Johnson,CUST_0484,BGT_SKU_087,1,WH-GGN,2120.28,2120.28,1,28-03-2025
Liam Miller,CUST_0134,BGT_SKU_083,1,WH-KOL,3355.19,3355.19,1,28-03-2025
David Miller,CUST_0120,BGT_SKU_092,1,WH-MUM,3254.5,3254.5,1,28-03-2025
Judy Garcia,CUST_0392,BGT_SKU_040,1,WH-MUM,2586.75,2586.75,1,28-03-2025
Bob Garcia,CUST_0494,BGT_SKU_089,4,WH-KOL,8087.44,2021.86,4,28-03-2025
Heidi Gonzalez,CUST_0373,BGT_SKU_066,4,WH-BLR,6640.68,1660.17,4,28-03-2025
Rachel Davis,CUST_0422,BGT_SKU_048,5,WH-GGN,8992.95,1798.59,5,28-03-2025
Judy Thompson,CUST_0164,BGT_SKU_096,1,WH-GGN,1068.85,1068.85,1,28-03-2025
David Brown,CUST_0429,BGT_SKU_039,3,WH-BLR,2516.07,838.69,3,28-03-2025
Frank Jackson,CUST_0149,BGT_SKU_060,5,WH-MUM,7335.2,1467.04,5,28-03-2025
Heidi Miller,CUST_0435,BGT_SKU_037,3,WH-MUM,3536.64,1178.88,3,28-03-2025
Olivia Miller,CUST_0490,BGT_SKU_084,3,WH-KOL,2054.46,684.82,3,28-03-2025
Mia Hernandez,CUST_0290,BGT_SKU_049,3,WH-MUM,9180.63,3060.21,3,28-03-2025
Charlie Allen,CUST_0305,BGT_SKU_018,5,WH-KOL,2550.05,510.01,5,28-03-2025
Eve Harris,CUST_0258,BGT_SKU_005,1,WH-MUM,2274.37,2274.37,1,28-03-2025
Wendy Anderson,CUST_0051,BGT_SKU_056,3,WH-MUM,5373.45,1791.15,3,28-03-2025
Heidi Thomas,CUST_0191,BGT_SKU_092,4,WH-BLR,13018,3254.5,4,28-03-2025
Tina Anderson,CUST_0345,BGT_SKU_046,5,WH-BLR,2581.3,516.26,5,28-03-2025
Heidi Martinez,CUST_0218,BGT_SKU_011,1,WH-MUM,1919.63,1919.63,1,28-03-2025
Charlie Jackson,CUST_0110,BGT_SKU_065,3,WH-KOL,6492.3,2164.1,3,28-03-2025
David Moore,CUST_0210,BGT_SKU_016,2,WH-KOL,4912.14,2456.07,2,28-03-2025
Mia Thomas,CUST_0073,BGT_SKU_055,5,WH-MUM,14287.25,2857.45,5,28-03-2025
Tina King,CUST_0336,BGT_SKU_079,4,WH-GGN,1323.12,330.78,4,28-03-2025
Heidi Williams,CUST_0043,BGT_SKU_060,1,WH-GGN,1467.04,1467.04,1,28-03-2025
Bob Garcia,CUST_0494,BGT_SKU_040,4,WH-MUM,10347,2586.75,4,28-03-2025
Heidi Young,CUST_0281,BGT_SKU_015,1,WH-BLR,430.84,430.84,1,28-03-2025
Kelly Wilson,CUST_0201,BGT_SKU_086,3,WH-GGN,7069.56,2356.52,3,28-03-2025
Frank Jackson,CUST_0049,BGT_SKU_018,4,WH-BLR,2040.04,510.01,4,28-03-2025
Kelly Williams,CUST_0076,BGT_SKU_089,5,WH-GGN,10109.3,2021.86,5,28-03-2025
Grace Thompson,CUST_0487,BGT_SKU_015,2,WH-GGN,861.68,430.84,2,28-03-2025
Bob King,CUST_0308,BGT_SKU_029,4,WH-BLR,5037.44,1259.36,4,28-03-2025
Uma Martin,CUST_0445,BGT_SKU_034,1,WH-MUM,2447.01,2447.01,1,28-03-2025
Victor Jones,CUST_0017,BGT_SKU_075,5,WH-BLR,16272.75,3254.55,5,28-03-2025
Eve Brown,CUST_0418,BGT_SKU_020,1,WH-GGN,2295.66,2295.66,1,28-03-2025
Tina Allen,CUST_0207,BGT_SKU_077,5,WH-BLR,1522.55,304.51,5,28-03-2025
Eve Young,CUST_0374,BGT_SKU_034,4,WH-BLR,9788.04,2447.01,4,28-03-2025
Sam King,CUST_0269,BGT_SKU_099,5,WH-KOL,9459.75,1891.95,5,28-03-2025
Liam King,CUST_0348,BGT_SKU_044,2,WH-GGN,2547.5,1273.75,2,28-03-2025
Uma Jones,CUST_0067,BGT_SKU_051,5,WH-BLR,11785.75,2357.15,5,28-03-2025
Bob Martinez,CUST_0472,BGT_SKU_006,1,WH-GGN,1141.05,1141.05,1,28-03-2025
Rachel Jones,CUST_0478,BGT_SKU_063,4,WH-GGN,8680.88,2170.22,4,28-03-2025
Grace Williams,CUST_0163,BGT_SKU_013,3,WH-KOL,6935.76,2311.92,3,28-03-2025
Heidi Thomas,CUST_0191,BGT_SKU_075,1,WH-GGN,3254.55,3254.55,1,28-03-2025
Kelly Gonzalez,CUST_0038,BGT_SKU_056,1,WH-BLR,1791.15,1791.15,1,28-03-2025
Alice Gonzalez,CUST_0415,BGT_SKU_021,4,WH-KOL,10172.76,2543.19,4,28-03-2025
Ivan White,CUST_0316,BGT_SKU_063,4,WH-GGN,8680.88,2170.22,4,28-03-2025
Bob Wright,CUST_0227,BGT_SKU_035,1,WH-KOL,1394.26,1394.26,1,28-03-2025
Kelly King,CUST_0170,BGT_SKU_007,2,WH-MUM,2997.38,1498.69,2,28-03-2025
Uma Jones,CUST_0067,BGT_SKU_047,2,WH-GGN,6239.22,3119.61,2,28-03-2025
Kelly Johnson,CUST_0039,BGT_SKU_039,5,WH-BLR,4193.45,838.69,5,28-03-2025
Mia Garcia,CUST_0365,BGT_SKU_080,3,WH-BLR,1500.06,500.02,3,28-03-2025
Peter Hernandez,CUST_0011,BGT_SKU_006,1,WH-BLR,1141.05,1141.05,1,28-03-2025
Heidi Martinez,CUST_0064,BGT_SKU_064,3,WH-KOL,4908.27,1636.09,3,28-03-2025
Tina Martin,CUST_0381,BGT_SKU_072,4,WH-GGN,11925.92,2981.48,4,28-03-2025
Judy Young,CUST_0402,BGT_SKU_042,4,WH-KOL,12590.76,3147.69,4,28-03-2025
Charlie Martin,CUST_0378,BGT_SKU_063,2,WH-KOL,4340.44,2170.22,2,28-03-2025
Peter Wilson,CUST_0224,BGT_SKU_009,1,WH-KOL,1058.59,1058.59,1,28-03-2025
Eve Jackson,CUST_0314,BGT_SKU_080,3,WH-BLR,1500.06,500.02,3,28-03-2025
Eve Miller,CUST_0434,BGT_SKU_056,4,WH-BLR,7164.6,1791.15,4,28-03-2025
Charlie Johnson,CUST_0154,BGT_SKU_009,5,WH-MUM,5292.95,1058.59,5,28-03-2025
Heidi King,CUST_0143,BGT_SKU_088,1,WH-MUM,2817.36,2817.36,1,28-03-2025
Alice Harris,CUST_0141,BGT_SKU_044,1,WH-MUM,1273.75,1273.75,1,28-03-2025
Yara Gonzalez,CUST_0286,BGT_SKU_023,1,WH-MUM,1411.7,1411.7,1,28-03-2025
Rachel Allen,CUST_0328,BGT_SKU_026,3,WH-GGN,768.57,256.19,3,28-03-2025
Liam Miller,CUST_0152,BGT_SKU_079,4,WH-BLR,1323.12,330.78,4,28-03-2025
Wendy Gonzalez,CUST_0027,BGT_SKU_081,1,WH-BLR,2112,2112,1,28-03-2025
Grace Anderson,CUST_0259,BGT_SKU_093,2,WH-GGN,6793.54,3396.77,2,28-03-2025
Eve Rodriguez,CUST_0458,BGT_SKU_099,2,WH-GGN,3783.9,1891.95,2,28-03-2025
David Moore,CUST_0210,BGT_SKU_086,1,WH-MUM,2356.52,2356.52,1,28-03-2025
Bob Martinez,CUST_0472,BGT_SKU_097,3,WH-MUM,9666.33,3222.11,3,28-03-2025
David Wilson,CUST_0439,BGT_SKU_030,5,WH-BLR,17450.1,3490.02,5,28-03-2025
Wendy Hernandez,CUST_0128,BGT_SKU_084,2,WH-GGN,1369.64,684.82,2,28-03-2025
Rachel Brown,CUST_0157,BGT_SKU_024,4,WH-MUM,8945.96,2236.49,4,28-03-2025
Liam Hernandez,CUST_0203,BGT_SKU_067,2,WH-GGN,3052.12,1526.06,2,28-03-2025
Kelly Gonzalez,CUST_0061,BGT_SKU_079,4,WH-GGN,1323.12,330.78,4,28-03-2025
Sam Johnson,CUST_0325,BGT_SKU_065,4,WH-GGN,8656.4,2164.1,4,28-03-2025
Quinn Allen,CUST_0368,BGT_SKU_062,4,WH-KOL,2124,531,4,28-03-2025
Eve Rodriguez,CUST_0458,BGT_SKU_063,3,WH-GGN,6510.66,2170.22,3,28-03-2025
Heidi Miller,CUST_0435,BGT_SKU_072,1,WH-MUM,2981.48,2981.48,1,28-03-2025
Victor Smith,CUST_0121,BGT_SKU_056,1,WH-BLR,1791.15,1791.15,1,28-03-2025
Quinn Jackson,CUST_0271,BGT_SKU_083,2,WH-GGN,6710.38,3355.19,2,28-03-2025
Sam Lopez,CUST_0488,BGT_SKU_096,3,WH-KOL,3206.55,1068.85,3,28-03-2025
Peter Thomas,CUST_0485,BGT_SKU_037,5,WH-MUM,5894.4,1178.88,5,28-03-2025
Bob Garcia,CUST_0188,BGT_SKU_076,3,WH-KOL,4601.25,1533.75,3,28-03-2025
David Davis,CUST_0179,BGT_SKU_033,2,WH-BLR,1726.96,863.48,2,28-03-2025
Bob Moore,CUST_0136,BGT_SKU_078,2,WH-GGN,2827.66,1413.83,2,28-03-2025
Kelly Anderson,CUST_0006,BGT_SKU_050,2,WH-KOL,5371.7,2685.85,2,28-03-2025
Wendy Brown,CUST_0303,BGT_SKU_032,3,WH-GGN,9891.27,3297.09,3,28-03-2025
Ivan Thomas,CUST_0166,BGT_SKU_032,4,WH-GGN,13188.36,3297.09,4,28-03-2025
Charlie Miller,CUST_0137,BGT_SKU_091,3,WH-BLR,9661.17,3220.39,3,28-03-2025
Alice Williams,CUST_0251,BGT_SKU_095,5,WH-GGN,11136.45,2227.29,5,28-03-2025
Grace Martin,CUST_0016,BGT_SKU_040,5,WH-MUM,12933.75,2586.75,5,28-03-2025
Ivan King,CUST_0145,BGT_SKU_077,3,WH-KOL,913.53,304.51,3,28-03-2025
Eve Thompson,CUST_0388,BGT_SKU_033,3,WH-KOL,2590.44,863.48,3,28-03-2025
Olivia Miller,CUST_0490,BGT_SKU_026,4,WH-GGN,1024.76,256.19,4,28-03-2025
David Martin,CUST_0129,BGT_SKU_078,3,WH-BLR,4241.49,1413.83,3,28-03-2025
Sam Garcia,CUST_0300,BGT_SKU_040,1,WH-MUM,2586.75,2586.75,1,29-03-2025
Wendy Gonzalez,CUST_0027,BGT_SKU_054,5,WH-GGN,1572.95,314.59,5,29-03-2025
Zoe Thompson,CUST_0106,BGT_SKU_064,3,WH-KOL,4908.27,1636.09,3,29-03-2025
Bob Garcia,CUST_0494,BGT_SKU_086,5,WH-KOL,11782.6,2356.52,5,29-03-2025
Kelly King,CUST_0226,BGT_SKU_044,4,WH-MUM,5095,1273.75,4,29-03-2025
David Miller,CUST_0120,BGT_SKU_022,1,WH-MUM,3108.49,3108.49,1,29-03-2025
Ivan Smith,CUST_0254,BGT_SKU_087,1,WH-KOL,2120.28,2120.28,1,29-03-2025
David Wilson,CUST_0026,BGT_SKU_024,3,WH-KOL,6709.47,2236.49,3,29-03-2025
Xavier Brown,CUST_0102,BGT_SKU_067,3,WH-GGN,4578.18,1526.06,3,29-03-2025
Noah Miller,CUST_0383,BGT_SKU_043,3,WH-BLR,9709.14,3236.38,3,29-03-2025
Xavier Wilson,CUST_0390,BGT_SKU_020,5,WH-GGN,11478.3,2295.66,5,29-03-2025
Mia Miller,CUST_0126,BGT_SKU_004,1,WH-KOL,1292.66,1292.66,1,29-03-2025
Uma Jackson,CUST_0238,BGT_SKU_061,1,WH-BLR,2901.97,2901.97,1,29-03-2025
Victor Williams,CUST_0279,BGT_SKU_023,3,WH-BLR,4235.1,1411.7,3,29-03-2025
Noah Johnson,CUST_0252,BGT_SKU_037,4,WH-KOL,4715.52,1178.88,4,29-03-2025
Uma Davis,CUST_0256,BGT_SKU_002,1,WH-KOL,955.3,955.3,1,29-03-2025
Olivia Gonzalez,CUST_0199,BGT_SKU_051,4,WH-MUM,9428.6,2357.15,4,29-03-2025
Liam Brown,CUST_0030,BGT_SKU_085,1,WH-MUM,372.47,372.47,1,29-03-2025
Quinn Martin,CUST_0397,BGT_SKU_040,5,WH-GGN,12933.75,2586.75,5,29-03-2025
Yara Allen,CUST_0084,BGT_SKU_046,3,WH-GGN,1548.78,516.26,3,29-03-2025
